titulo;TESTE 2;sb;100;use_pu;true;;;;;;
name;type;id;v;theta_deg;p_g;q_g;q_min;q_max;p_c;q_c;v_base
1;0;1;1;5,95;0;0;;;0,9;0,49;115
2;0;2;1;7,74;0;0;;;0,56;0,15;115
3;0;3;1;6,64;0;0;;;0,2;0;230
4;0;4;1;4,71;0;0;;;0;0;345
5;0;5;1;4,68;0;0;;;3,53;1,3;115
6;0;6;1;6,99;0;0;;;1,2;0,41;115
7;0;7;1;6,19;0;0;;;0;0;230
8;1;8;1;2,4;-0,05;0;;;0,58;0,14;115
9;0;9;1;2,85;0;0;;;0,96;0,43;115
10;1;10;1;1,35;-0,05;0;;;1,48;0,33;230
11;0;11;1;2,46;0;0;;;0,83;0,21;115
12;0;12;1;5,21;0;0;;;0;0;230
13;0;13;1;-0,55;0;0;;;0,58;0,1;115
14;0;14;1;-4,81;0;0;;;1,6;0,6;115
15;0;15;1;-8,59;0;0;;;1,267;0,23;115
16;0;16;1;-2,65;0;0;;;0;0;345
17;0;17;1;-13,1;0;0;;;5,61;2,2;115
18;0;19;1;1,08;0;0;;;0;0;230
19;1;20;1;-2,46;-0,1;0;;;5,95;1,2;115
20;0;21;1;1,62;0;0;;;0,77;0,01;230
21;0;22;1;-1,97;0;0;;;0,81;0,23;115
22;0;23;1;3,94;0;0;;;0,21;0,07;115
23;0;24;1;6,02;0;0;;;0;0;230
24;0;25;1;1,44;0;0;;;0,45;0,12;115
25;0;26;1;-1,73;0;0;;;0,28;0,09;115
26;0;27;1;-4,9;0;0;;;0,69;0,13;115
27;0;33;1,0244;-12,02;0;0;;;0,55;0,06;115
28;0;34;1,0414;-7,94;0;0;;;0;0;345
29;0;35;0,9757;-25,72;0;0;;;0;0;115
30;0;36;1,0011;-22,59;0;0;;;0;0;230
31;0;37;1,0201;-11,23;0;0;;;0,85;0,32;115
32;0;38;1,0202;-12,56;0;0;;;1,55;0,18;115
33;0;39;1,0535;-5,81;0;0;;;0;0;345
34;0;40;1,0216;-12,78;0;0;;;0,46;-0,21;115
35;0;41;1,0292;-10,45;0;0;;;0,86;0;115
36;0;42;1,0448;-7,44;0;0;;;0;0;345
37;0;43;1,0006;-16,79;0;0;;;0,39;0,09;115
38;0;44;1,0086;-17,47;0;0;;;1,95;0,29;115
39;0;45;1,0215;-14,74;0;0;;;0;0;230
40;0;46;1,0344;-11,75;0;0;;;0;0;345
41;0;47;0,9777;-23,17;0;0;;;0,58;0,118;115
42;0;48;1,0019;-16,09;0;0;;;0,41;0,19;115
43;0;49;1,0475;-2,95;0;0;;;0,92;0,26;115
44;0;51;1,0253;-8,15;0;0;;;-0,05;0,05;115
45;0;52;0,9979;-11,86;0;0;;;0,61;0,28;115
46;0;53;0,9959;-17,6;0;0;;;0,69;0,03;115
47;0;54;1,005;-16,25;0;0;;;0,1;0,01;115
48;0;55;1,015;-12,21;0;0;;;0,22;0,1;115
49;0;57;1,0335;-8;0;0;;;0,98;0,2;115
50;0;58;0,9918;-5,99;0;0;;;0,14;0,01;115
51;0;59;0,9789;-5,29;0;0;;;2,18;1,06;115
52;0;60;1,0246;-9,56;0;0;;;0;0;230
53;0;61;0,9906;-3,47;0;0;;;2,27;1,1;115
54;0;62;1,016;-1,1;0;0;;;0;0;230
55;1;63;0,9583;-17,62;0;0;;;0,7;0,3;115
56;0;64;0,948;-12,97;0;0;;;0;0;230
